tier,id,title,arxiv,V,A,S_human,S_min,S_max
1,P01,SNLW controlled paths,2607.07618,95.79,0.12,86.3986,80.937,90.62492
1,P02,KdV localized perturbations,2607.08401,92.7,0.16,81.299,75.73312,85.84856
1,P03,Lusztig special pieces,2607.15406,94.985,0.18,80.6942,74.770752,85.275664
1,P04,Subgroups of Thompson V,2608.02111,91.415,0.18,78.8076,72.684,84.05624
2,P05,Cautis--Logvinenko,2607.25982,85.575,0.24,70.7806,64.162084,76.64350400000001
2,P06,Nine-distance theorem,2608.01443,86.61,0.28,67.906,60.85318399999999,74.240544
2,P07,Odd-cycle span defect,2608.00691,79.6,0.34,59.8994,52.7992,66.42408
3,P08,Fuglede in dimension two,2607.15632,84.295,0.42,55.1887,46.247608,63.274840000000005
3,P09,Duncan counterexample,2607.25118,71.1,0.43,49.591,41.88344,56.95302
3,P10,Perfect 1-factorisation,2607.09459,77.095,0.47,48.9994,43.568,53.922000000000004
3,P11,Zero-mass counterexample,2607.26549,78.195,0.5,46.8975,41.031904,52.316624000000004
3,P12,Charpin counterexamples,2607.28741,70.005,0.5,44.1025,36.612399999999994,51.3388
4,P13,Nine-line Jacobian relation,2607.01985,58.815,0.68,28.5984,22.595423999999994,34.941152
4,P14,Feige conjecture,2607.24528,65.195,0.75,25.5,21.057231999999996,29.740304000000002
5,P15,Batyrev counterexample,2607.19184,58.19,0.88,15.6028,12.187399999999998,19.165506
